PLO/CLO,P1,P2,P3,P4,P5,P6
C1,0,0,0,0,0,0
C2,0,0,0,0,0,0
C3,0,0,0,0,0,0
C4,0,0,0,0,0,0
C5,0,0,0,0,0,0
C6,0,0,0,0,0,0
C7,0,0,0,0,0,0
C8,0,0,0,0,0,0
C9,0,0,0,0,0,0
C10,0,0,0,0,0,0
C11,0,0,0,0,0,0
C12,0,0,0,0,0,0
C13,0,0,0,0,0,0
C14,0,0,0,0,0,0
C15,0,0,0,0,0,0
C16,0,0,0,0,0,0
C17,0,0,0,0,0,0
C18,0,0,0,0,0,0
C19,0,0,0,0,0,0
C20,0,0,0,0,0,0
C21,0,0,0,0,0,0
C22,0,0,0,0,1,0
C23,0,0,0,0,0,0
C24,0,0,0,0,0,0
C25,0,0,0,0,0,0
C26,0,0,0,0,0,0
C27,0,0,0,0,0,0
C28,0,0,0,0,0,0
C29,0,0,0,0,0,0
C30,0,0,0,0,0,0
C31,0,0,0,0,0,0
C32,0,0,0,0,0,0
C33,0,0,0,0,0,0
C34,0,0,0,0,0,0
C35,0,0,0,0,0,0
C36,0,0,0,0,0,0
C37,0,0,0,0,0,0
C38,0,0,0,0,0,0
C39,0,0,0,0,0,0
C40,0,0,0,0,0,0
C41,0,0,0,1,0,0
C42,0,0,0,0,0,0
C43,0,0,0,0,0,0
C44,0,0,0,0,0,0
C45,0,0,0,0,0,0
C46,0,0,0,0,0,0
C47,0,0,0,0,0,0
C48,0,0,0,0,0,0
C49,0,0,0,0,0,0
C50,0,0,0,0,0,0
C51,0,0,0,0,0,0
C52,0,0,0,0,1,0
C53,0,0,0,0,0,0
C54,0,0,0,0,0,0
C55,0,0,0,0,0,0
C56,0,0,0,0,1,0
C57,0,0,0,0,0,0
C58,0,0,0,0,0,0
C59,0,0,0,0,0,0
C60,0,0,0,0,0,0
C61,0,0,0,0,0,0
C62,0,0,0,0,0,0
C63,0,0,0,0,0,0
C64,0,0,0,0,0,0
C65,0,0,0,0,0,0
C66,0,0,0,0,0,0
C67,0,0,0,0,0,0
C68,0,0,0,0,0,0
C69,0,0,0,0,0,0
C70,0,0,0,0,0,0
C71,0,0,0,0,0,0
C72,0,0,0,0,0,0
C73,0,0,0,0,0,0
C74,0,0,0,0,0,0
C75,0,0,0,0,0,0
C76,0,0,0,0,0,0
C77,0,0,0,0,0,0
C78,0,0,0,0,0,0
C79,0,0,0,0,0,0
C80,0,0,0,0,0,0
C81,0,0,0,0,0,0
C82,0,0,0,0,0,0
C83,0,0,0,0,0,0
C84,0,0,0,0,0,0
C85,0,0,0,0,0,0
C86,0,0,0,0,0,0
C87,0,0,0,0,0,0
C88,0,0,0,0,0,0
C89,0,0,0,0,0,0
C90,0,0,0,0,0,0
C91,0,0,0,0,0,0
C92,0,0,0,0,0,0
C93,0,0,0,0,0,0
C94,0,0,0,0,0,0
C95,0,0,0,0,0,0
C96,0,0,1,0,0,0
C97,0,0,0,0,0,0
C98,0,0,0,0,0,0
C99,0,0,0,0,0,0
C100,0,0,1,0,0,0
C101,0,0,0,1,0,0
C102,0,0,0,0,0,0
C103,0,0,0,0,0,0
C104,0,0,0,0,0,0
C105,0,0,0,0,0,0
C106,0,0,0,0,0,0
C107,0,0,0,0,0,0
C108,0,0,0,0,0,0
C109,0,0,0,0,0,0
C110,0,0,0,0,0,0
C111,0,0,0,0,0,0
C112,0,0,0,0,0,0
C113,0,0,0,0,0,0
C114,0,0,0,0,0,0
C115,0,0,0,0,0,0
C116,0,0,0,0,1,0
C117,0,0,0,0,0,0
C118,0,0,0,0,0,0
C119,0,0,0,0,0,0
C120,0,0,0,0,0,0
C121,0,0,0,0,0,0
C122,0,0,0,0,1,0
C123,0,0,0,1,0,0
C124,0,0,0,0,0,0
C125,0,0,0,0,0,0
C126,0,0,0,0,0,0
C127,0,0,0,0,0,0
C128,0,0,0,1,0,0
C129,1,1,0,0,0,1
C130,1,0,0,0,0,1
C131,0,0,0,0,0,0
C132,0,0,0,0,1,0
